salary,job_url,job_enterprise,date,job_place,job_name
15000-19999/月,http://jobs.51job.com/shanghai-ypq/77054880.html?s=0,上海众敏供应链管理有限公司,11-08,上海-杨浦区,资深数据挖掘工程师
15000-30000/月,http://jobs.51job.com/beijing-hdq/77231979.html?s=0,去哪儿网机票事业部,11-08,北京-海淀区,数据挖掘工程师/数据分析工程师
15000-25000/月,http://jobs.51job.com/fuzhou-jaq/81723600.html?s=0,福建喜相逢汽车服务股份有限公司,11-08,福州-晋安区,数据挖掘工程师
20000-24999/月,http://jobs.51job.com/beijing-hdq/78550887.html?s=0,去哪儿网金融事业部,11-08,北京-海淀区,数据挖掘高级工程师-金融事业部(J10143)
4500-5999/月,http://jobs.51job.com/shenzhen-nsq/81752161.html?s=0,深圳智扬信达信息技术有限公司,11-08,深圳-南山区,数据挖掘实习生
20000-30000/月,http://jobs.51job.com/hangzhou/80975923.html?s=0,杭州树熊网络有限公司,11-08,杭州,大数据挖掘专家-火速招聘
8000-15000/月,http://jobs.51job.com/hangzhou-gsq/78203804.html?s=0,杭州蜜帅文化创意有限公司,11-08,杭州-拱墅区,数据挖掘
10000-14999/月,http://jobs.51job.com/shanghai-ptq/66947946.html?s=0,北京游仁堂商贸有限公司,11-08,上海-普陀区,CRM数据挖掘工程师
10000-150000/年,http://jobs.51job.com/changsha-kfq/71392352.html?s=0,北京高地信息技术有限公司长沙分公司,11-08,长沙-开福区,数据挖掘高级软件工程师（双休 五险一金）
Null,http://jobs.51job.com/shanghai-cnq/81576184.html?s=0,中国联合网络通信有限公司上海市分公司（上海联通）,11-08,上海-长宁区,数据挖掘岗（互联网与存量经营部）
9000-15000/月,http://jobs.51job.com/hangzhou-jgq/79167744.html?s=0,上海亿阳信通实业有限公司,11-08,杭州-江干区,数据挖掘工程师
10000-30000/月,http://jobs.51job.com/beijing-hdq/78398286.html?s=0,北京屏联科技有限公司,11-08,北京-海淀区,数据挖掘开发分析工程师
15000-19999/月,http://jobs.51job.com/beijing-hdq/75548411.html?s=0,北京众荟信息技术股份有限公司,11-08,北京-海淀区,高级数据挖掘工程师
6000-12000/月,http://jobs.51job.com/shenzhen-lhxq/75188123.html?s=0,深圳谱元科技有限公司,11-08,深圳-龙华新区,数据挖掘工程师
